model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled
Random Forest,f1_macro,1.8540966510772705,0.16571044921875,0.2253267765045166,0.002960205078125,,100,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.8145250275855151,0.7707664526484751,0.7926457401169951,0.021879287468520026,1,0.8370214272339648,0.780287594102312,0.8086545106681384,0.028366916565826406,1,0.8065102577503688,0.7501961166941193,0.778353187222244,0.028157070528124717,1,0.8123887237968942,0.7404783070047335,0.7764335154008138,0.03595520839608035,1,False
Random Forest,f1_macro,1.818007230758667,0.15430951118469238,0.23226606845855713,0.005394577980041504,100,100,"{'classifier__max_depth': 100, 'classifier__n_estimators': 100}",0.8145250275855151,0.7707664526484751,0.7926457401169951,0.021879287468520026,1,0.8370214272339648,0.780287594102312,0.8086545106681384,0.028366916565826406,1,0.8065102577503688,0.7501961166941193,0.778353187222244,0.028157070528124717,1,0.8123887237968942,0.7404783070047335,0.7764335154008138,0.03595520839608035,1,False
Random Forest,f1_macro,23.279252409934998,2.7511688470840454,0.6504490375518799,0.11136293411254883,100,1500,"{'classifier__max_depth': 100, 'classifier__n_estimators': 1500}",0.8122178754137828,0.771368378812199,0.7917931271129909,0.020424748300791884,3,0.8321254892822599,0.7806902712279524,0.8064078802551062,0.025717609027153754,5,0.8038673830852857,0.7511707868710018,0.7775190849781437,0.026348298107141954,3,0.809599057486766,0.7409341498170787,0.7752666036519223,0.034332453834843624,3,False
Random Forest,f1_macro,23.722450494766235,3.1047518253326416,0.6535695791244507,0.1344083547592163,,1500,"{'classifier__max_depth': None, 'classifier__n_estimators': 1500}",0.8122178754137828,0.771368378812199,0.7917931271129909,0.020424748300791884,3,0.8321254892822599,0.7806902712279524,0.8064078802551062,0.025717609027153754,5,0.8038673830852857,0.7511707868710018,0.7775190849781437,0.026348298107141954,3,0.809599057486766,0.7409341498170787,0.7752666036519223,0.034332453834843624,3,False
Random Forest,f1_macro,7.884746074676514,0.8939259052276611,0.308557391166687,0.01213228702545166,,500,"{'classifier__max_depth': None, 'classifier__n_estimators': 500}",0.8146253385495035,0.766653290529695,0.7906393145395992,0.02398602400990424,5,0.8366415591075947,0.7762499641629717,0.8064457616352831,0.030195797472311547,3,0.8054679934561281,0.7438006209947429,0.7746343072254355,0.030833686230692603,7,0.8118328638268818,0.7352029209420585,0.7735178923844701,0.03831497144241164,5,False
Random Forest,f1_macro,7.9588862657547,0.790969967842102,0.32658231258392334,0.011733651161193848,100,500,"{'classifier__max_depth': 100, 'classifier__n_estimators': 500}",0.8146253385495035,0.766653290529695,0.7906393145395992,0.02398602400990424,5,0.8366415591075947,0.7762499641629717,0.8064457616352831,0.030195797472311547,3,0.8054679934561281,0.7438006209947429,0.7746343072254355,0.030833686230692603,7,0.8118328638268818,0.7352029209420585,0.7735178923844701,0.03831497144241164,5,False
Random Forest,f1_macro,15.90570318698883,1.4734350442886353,0.4950786828994751,0.03522050380706787,100,1000,"{'classifier__max_depth': 100, 'classifier__n_estimators': 1000}",0.8102116561340155,0.7701645264847512,0.7901880913093833,0.020023564824632134,7,0.8301704622257204,0.7793006515964743,0.8047355569110974,0.025434905314623057,7,0.8016088760532276,0.7496386636457312,0.7756237698494794,0.02598510620374822,5,0.8074691545103914,0.7395237395307832,0.7734964470205873,0.03397270748980408,7,False
Random Forest,f1_macro,15.388352394104004,1.7055025100708008,0.45584213733673096,0.055489182472229004,,1000,"{'classifier__max_depth': None, 'classifier__n_estimators': 1000}",0.8102116561340155,0.7701645264847512,0.7901880913093833,0.020023564824632134,7,0.8301704622257204,0.7793006515964743,0.8047355569110974,0.025434905314623057,7,0.8016088760532276,0.7496386636457312,0.7756237698494794,0.02598510620374822,5,0.8074691545103914,0.7395237395307832,0.7734964470205873,0.03397270748980408,7,False
Random Forest,f1_macro,6.699333548545837,0.6121155023574829,0.3048204183578491,0.005805611610412598,10,500,"{'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.6613501855752834,0.711376404494382,0.6863632950348326,0.02501310945954932,9,0.769172440728149,0.7313430951763386,0.7502577679522437,0.01891467277590525,10,0.6407047152597922,0.6815870663214819,0.6611458907906371,0.020441175530844846,9,0.6577255920453339,0.6736220895260527,0.6656738407856932,0.007948248740359432,9,False
Random Forest,f1_macro,19.900574922561646,1.9840662479400635,0.5715078115463257,0.0608137845993042,10,1500,"{'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.6561340154478884,0.7142857142857143,0.6852098648668014,0.029075849418912947,10,0.7611643808179365,0.7332656968824061,0.7472150388501713,0.013949341967765205,12,0.636544296541177,0.6845733873790483,0.6605588419601126,0.024014545418935662,10,0.653181340778693,0.676601952238841,0.6648916465087671,0.011710305730073978,10,False
Random Forest,f1_macro,1.6182129383087158,0.1640779972076416,0.22266781330108643,0.0022276639938354492,10,100,"{'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.6623532952151671,0.7079654895666132,0.6851593923908901,0.022806097175723076,11,0.7695136079527409,0.7314619630849214,0.7504877855188312,0.019025822433909767,9,0.641115484176964,0.6787010759278865,0.6599082800524252,0.018792795875461288,12,0.6568411992821671,0.6724042628729241,0.6646227310775457,0.0077815317953784935,11,False
Random Forest,f1_macro,13.360124230384827,1.4051629304885864,0.4414968490600586,0.03849482536315918,10,1000,"{'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.6558330825559233,0.7137841091492777,0.6848085958526005,0.02897551329667719,12,0.7619841884585825,0.7330033212643821,0.7474937548614823,0.014490433597100227,11,0.6359881004376289,0.6838928462640912,0.65994047335086,0.023952372913231157,11,0.6528630710603315,0.676073572866305,0.6644683219633183,0.011605250902986752,12,False
